,Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1],SOC,M1 Enthalpy [J mol-1],M2 Enthalpy [J mol-1],M3 Enthalpy [J mol-1],M4 Enthalpy [J mol-1],M3 Enthalpy_Lower,M3 Enthalpy_Upper,G
43,-6.0982,0.00019605,3.4287e-05,0.0075601,0.0019338,0.0019338,3,-16.492,0.027787,0.061332000000000005,0.012859,0.004529200000000001,0.004529200000000001,0.0028643,0.00047106,0.00047106,0.0075601,0.0019338,0.0019338,0.04029,0.005232,0.005232,0.6515101334387454,-14.801069515045,-17.999373515045,-16.496717515045,-6.0231495150450005,0.5762724,0.5762724,0.691846085025
44,-6.24,0.00020829,3.6636e-05,0.0077745,0.0021111999999999997,0.0021111999999999997,3,-17.605999999999998,0.025738,0.061609000000000004,0.012443000000000001,0.0053227,0.0053227,0.0024984,0.0010195,0.0010195,0.0077745,0.0021111999999999997,0.0021111999999999997,0.039898,0.005894399999999999,0.005894399999999999,0.6666595442356386,-16.115169989741,-19.297441989741,-17.609089989741,-7.329569989741,0.6291376,0.6291376,0.720513791025
45,-6.3819,0.00021361,7.290600000000001e-05,0.0075101,0.0019733,0.0019733,3,-18.204,0.021213,0.041562,0.010792,0.0020883000000000004,0.0020883000000000004,0.0037192,0.000102,0.000102,0.0075101,0.0019733,0.0019733,0.029772000000000003,0.0026149999999999997,0.0026149999999999997,0.681819638679074,-17.156791960769,-19.420087960769,-18.206999960769,-11.083191960768998,0.5880434,0.5880434,0.750447596025
46,-6.5237,0.00021548,7.2357e-05,0.0088242,0.0021458000000000002,0.0021458000000000002,3,-17.964000000000002,0.022861000000000003,0.043144999999999996,0.012522,0.00206,0.00206,0.005263,0.00030303,0.00030303,0.0088242,0.0021458000000000002,0.0021458000000000002,0.032126,0.0025694000000000003,0.0025694000000000003,0.6969690494759672,-16.783619533291997,-19.106499533292,-17.966915533291996,-10.510339533291997,0.6394484,0.6394484,0.780870077025
47,-6.6655,0.00021746,5.5406000000000005e-05,0.013522999999999999,0.0026414999999999998,0.0026414999999999998,3,-16.65,0.031439999999999996,0.054946,0.018497,0.0027589000000000003,0.0027589000000000003,0.0093156,0.00057058,0.00057058,0.013522999999999999,0.0026414999999999998,0.0026414999999999998,0.043472000000000004,0.0034748000000000005,0.0034748000000000005,0.7121184602728604,-15.062660492433999,-18.000708492433997,-16.654340492434,-7.070660492433996,0.787167,0.787167,0.811565523025
48,-6.8073,0.00022369,2.2616999999999997e-05,0.025771,0.0032580999999999995,0.0032580999999999995,3,-13.327,0.059493,0.099087,0.033472,0.004735100000000001,0.004735100000000001,0.016155000000000003,0.002203,0.002203,0.025771,0.0032580999999999995,0.0032580999999999995,0.079528,0.0060694,0.0060694,0.7272678710697535,-10.871764116400996,-16.413204116400998,-13.336084116400997,3.866155883599003,0.9709137999999998,0.9709137999999998,0.8428430580249999
49,-6.9491,0.00024768,4.3282e-06,0.037075,0.0048460000000000005,0.0048460000000000005,3,-12.022,0.11377000000000001,0.20886,0.046853,0.005918,0.005918,0.011203,0.013349000000000001,0.013349000000000001,0.037075,0.0048460000000000005,0.0048460000000000005,0.14812999999999998,0.008840899999999999,0.008840899999999999,0.7424172818666468,-8.904527252672,-20.312527252672,-12.033487252672002,23.504112747327994,1.4441080000000002,1.4441080000000002,0.8762631910249999
50,-7.091,0.00027519,1.9057e-06,0.041138,0.006254699999999999,0.006254699999999999,3,-13.376,0.14069,0.27678,0.055259,0.011048,0.011048,0.007515600000000001,0.017276,0.017276,0.041138,0.006254699999999999,0.006254699999999999,0.18744,0.014400999999999999,0.014400999999999999,0.7575773763100823,-8.868918760751,-24.146806760751,-13.387638760751,33.429001239249004,1.8639005999999998,1.8639005999999998,0.9133608175250001
51,-7.2328,0.00030227,1.3557e-06,0.04448,0.0083979,0.0083979,3,-14.918,0.15275,0.31529,0.05825399999999999,0.015064,0.015064,0.0038316,0.020845,0.020845,0.04448,0.0083979,0.0083979,0.20809,0.020125999999999998,0.020125999999999998,0.7727267871069754,-10.523341575682998,-27.938509575682996,-14.931021575682998,37.42417842431699,2.5025741999999997,2.5025741999999997,0.9543027315250001
52,-7.3746,0.00032069,1.8148e-06,0.046002,0.0097868,0.0097868,3,-16.206,0.14065,0.30923,0.057841,0.016994,0.016994,0.0041987,0.021002,0.021002,0.046002,0.0097868,0.0097868,0.20449,0.022831999999999998,0.022831999999999998,0.7878761979038686,-12.432761407700998,-29.598297407700997,-16.221241407700997,34.49491859229901,2.9164664,2.9164664,0.9984705955250001
