,Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1],SOC,M1 Enthalpy [J mol-1],M2 Enthalpy [J mol-1],M3 Enthalpy [J mol-1],M4 Enthalpy [J mol-1],M3 Enthalpy_Lower,M3 Enthalpy_Upper
41,1.1732,8.8503e-05,0.00016597,-0.0033296,0.0013176,0.0013176,3,-9.5381,-0.010986,0.013854,-0.00035734,0.00024702,0.00024702,-0.0008139,0.0027469,0.0027469,-0.0033296,0.0013176,0.0013176,-0.0013904,0.00094964,0.00094964,0.6721283299914065,-8.6457287376487,-8.781783617648701,-9.5314622176487,-8.9535806176487,0.39264479999999996,0.39264479999999996
42,1.2018,8.8502e-05,0.00016868,-0.0037122,0.0013377,0.0013377,3,-9.6527,-0.011451,0.014304,-0.00061049,0.00021059,0.00021059,-0.0011463,0.002882,0.002882,-0.0037122,0.0013377,0.0013377,-0.0017217,0.0010207,0.0010207,0.6885133199656258,-8.7210709523158,-8.8807423323158,-9.6453805323158,-9.0522115323158,0.3986346,0.3986346
43,1.2304,8.8489e-05,0.00017106,-0.0040682,0.0014401,0.0014401,3,-9.7579,-0.012314,0.014667,-0.00081685,0.00027235,0.00027235,-0.0014575,0.0029444,0.0029444,-0.0040682,0.0014401,0.0014401,-0.0020259,0.000999,0.000999,0.7048983099398453,-8.781311922988099,-8.9722256229881,-9.750214222988099,-9.141608822988099,0.42914979999999997,0.42914979999999997
44,1.259,8.8464e-05,0.00017329,-0.0044214,0.0015306,0.0015306,3,-9.8612,-0.01283,0.014858,-0.0010708,0.00040738,0.00040738,-0.0017492,0.002895,0.002895,-0.0044214,0.0015306,0.0015306,-0.0023295,0.00090076,0.00090076,0.7212832999140647,-8.8545768896656,-9.0567400896656,-9.8530556896656,-9.2296694896656,0.4561188,0.4561188
45,1.2876,8.8436e-05,0.00017517,-0.0048001,0.001498,0.001498,3,-9.972,-0.01358,0.015295,-0.0013358,0.00045249,0.00045249,-0.0020512,0.0029605,0.0029605,-0.0048001,0.001498,0.001498,-0.0026491,0.00090319,0.00090319,0.7376682898882841,-8.9308453003444,-9.1440345003444,-9.9632067003444,-9.322208700344401,0.44640399999999997,0.44640399999999997
46,1.3163,8.8404e-05,0.00017862,-0.0048649,0.0016192,0.0016192,3,-9.9882,-0.014256,0.015752,-0.0013249,0.0005473,0.0005473,-0.0021082,0.0029552,0.0029552,-0.0048649,0.0016192,0.0016192,-0.0026937,0.00082957,0.00082957,0.7541105700372386,-8.9245095696916,-9.157932969691599,-9.9794295696916,-9.332411969691599,0.4825216,0.4825216
47,1.3449,8.8348e-05,0.00018279,-0.0054911,0.0016057,0.0016057,3,-10.17,-0.015249,0.016447,-0.0017819,0.00055592,0.00055592,-0.0025622,0.0031339,0.0031339,-0.0054911,0.0016057,0.0016057,-0.0031963,0.0009033,0.0009033,0.770495560011458,-9.0552923910492,-9.2878217910492,-10.160633991049199,-9.4767835910492,0.4784986,0.4784986
48,1.3735,8.8285e-05,0.00018803,-0.0057981,0.0017924,0.0017924,3,-10.256,-0.015778,0.017185,-0.0019742,0.00079308,0.00079308,-0.0026778,0.0030544,0.0030544,-0.0057981,0.0017924,0.0017924,-0.0033806,0.00074495,0.00074495,0.7868805499856774,-9.106519215076501,-9.316192015076501,-10.246041415076501,-9.5256264150765,0.5341352,0.5341352
49,1.4021,8.8202e-05,0.00019314,-0.006214,0.0019625,0.0019625,3,-10.373,-0.0171,0.01788,-0.0023463,0.00098691,0.00098691,-0.0030353,0.0029881,0.0029881,-0.006214,0.0019625,0.0019625,-0.0037548,0.0005921,0.0005921,0.8032655399598968,-9.209396732445798,-9.414718732445799,-10.3619713324458,-9.629129732445799,0.5848249999999999,0.5848249999999999
50,1.4307,8.8098e-05,0.00019941,-0.0067502,0.0020202,0.0020202,3,-10.523,-0.01789,0.018996,-0.0027932,0.0010634,0.0010634,-0.0034471,0.0031038,0.0031038,-0.0067502,0.0020202,0.0020202,-0.0042047,0.00058588,0.00058588,0.8196505299341164,-9.3325384578242,-9.527400657824199,-10.511724457824199,-9.753165457824199,0.6020196000000001,0.6020196000000001
