,Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1],SOC,M1 Enthalpy [J mol-1],M2 Enthalpy [J mol-1],M3 Enthalpy [J mol-1],M4 Enthalpy [J mol-1],M3 Enthalpy_Lower,M3 Enthalpy_Upper,G
33,-4.8146,0.0038813000000000003,0.0034533999999999997,0.0033813000000000003,0.0037898000000000003,0.0037898000000000003,3,-373.48,0.029961,0.086865,0.007365600000000001,0.0059148000000000004,0.0059148000000000004,-0.0075649,0.004125,0.004125,0.0033813000000000003,0.0037898000000000003,0.0037898000000000003,0.04704,0.006651300000000001,0.006651300000000001,0.6000024924292462,-372.29357378477,-376.74286278477,-373.48089518477,-360.47060258477,1.1293604000000002,1.1293604000000002,17.664368820500005
34,-4.9605,0.0038973,0.0034753999999999996,0.0042065,0.0035801,0.0035801,3,-374.77,0.030595999999999998,0.085388,0.0082616,0.005917,0.005917,-0.006428,0.0040411,0.0040411,0.0042065,0.0035801,0.0035801,0.047282,0.0066055,0.0066055,0.6181847637800182,-373.57033111116993,-377.94783191116994,-374.77875091116994,-361.94225191116993,1.0668698,1.0668698,18.2318176905
35,-5.1064,0.0039131,0.0035034999999999997,0.0050385,0.0033284,0.0033284,3,-376.05,0.029761000000000003,0.08252000000000001,0.0090434,0.0057406,0.0057406,-0.0051542,0.0040563000000000005,0.0040563000000000005,0.0050385,0.0033284,0.0033284,0.046729,0.0061407,0.0061407,0.6363670351307902,-374.86182297099,-379.09270777098993,-376.05528317099,-363.63151417098993,0.9918632000000001,0.9918632000000001,18.8015863705
36,-5.2523,0.0039288000000000005,0.003536,0.0050595,0.0028695,0.0028695,3,-377.55,0.029625,0.079613,0.0088078,0.005860300000000001,0.005860300000000001,-0.0048728,0.0042424,0.0042424,0.0050595,0.0028695,0.0028695,0.045155,0.006505599999999999,0.006505599999999999,0.6545493064815623,-376.44685149752,-380.52367029752,-377.56384489752,-365.61538589752,0.8551110000000001,0.8551110000000001,19.3736529755
37,-5.3982,0.0039442,0.0035679,0.0054507,0.0022688,0.0022688,3,-378.92,0.028218,0.07573300000000001,0.009032,0.0059857,0.0059857,-0.0039339,0.0044019,0.0044019,0.0054507,0.0022688,0.0022688,0.043483,0.006651100000000001,0.006651100000000001,0.6727315778323343,-377.86591402418003,-381.72975222418,-378.93314142418,-367.59951602418,0.6761024,0.6761024,19.947988325500003
38,-5.5441,0.003959300000000001,0.0036099000000000005,0.0050506,0.0028211,0.0028211,3,-380.5,0.026082,0.069896,0.0078534,0.0050729,0.0050729,-0.0041145,0.0040744,0.0040744,0.0050506,0.0028211,0.0028211,0.039708,0.0056847,0.0056847,0.6909138491831063,-379.67406535097,-383.24049955097,-380.50929975097006,-370.18139455097,0.8406878,0.8406878,20.5245486505
39,-5.69,0.003973900000000001,0.0036568000000000004,0.0041266,0.0027609,0.0027609,3,-382.19,0.023239,0.062492,0.0061317,0.0044922,0.0044922,-0.0046259,0.0042891000000000006,0.0042891000000000006,0.0041266,0.0027609,0.0027609,0.034936,0.0049277999999999995,0.0049277999999999995,0.7090961205338784,-381.59581781131004,-384.80158261131004,-382.1933376113101,-373.01213641131005,0.8227482,0.8227482,21.1032755905
40,-5.8359,0.0039878,0.0036968000000000005,0.0044009999999999995,0.0026696,0.0026696,3,-383.44,0.022309,0.05752,0.0057179,0.0038509,0.0038509,-0.0041507,0.004307399999999999,0.004307399999999999,0.0044009999999999995,0.0026696,0.0026696,0.032476,0.0045474,0.0045474,0.7272783918846503,-383.06027633861993,-386.0011191386199,-383.45271253861995,-375.08636253861994,0.7955407999999999,0.7955407999999999,21.684081605499998
41,-5.9818,0.0040013,0.0037103,0.005633399999999999,0.0031011999999999997,0.0031011999999999997,3,-384.38,0.022969,0.057875,0.0065366,0.0033498000000000004,0.0033498000000000004,-0.0033351999999999995,0.004474499999999999,0.004474499999999999,0.005633399999999999,0.0031011999999999997,0.0031011999999999997,0.033738,0.0040333,0.0040333,0.7454606632354224,-384.11885573277,-387.06065213277,-384.38800933276997,-376.01283853277,0.9241575999999999,0.9241575999999999,22.2668864505
42,-6.1277,0.0040155,0.0036899999999999997,0.0074286000000000005,0.0036364000000000006,0.0036364000000000006,3,-385.21,0.027358999999999998,0.065472,0.0085846,0.0034485999999999996,0.0034485999999999996,-0.0025653000000000004,0.0048115,0.0048115,0.0074286000000000005,0.0036364000000000006,0.0036364000000000006,0.039348,0.0039975,0.0039975,0.7636429345861944,-384.87864345995,-388.20131365995,-385.22313145994997,-375.71115025995,1.0836472000000001,1.0836472000000001,22.851712010500002
43,-6.2736,0.0040314999999999995,0.0036513000000000006,0.0086617,0.0038516999999999996,0.0038516999999999996,3,-386.38,0.031694,0.077775,0.010466,0.0043518,0.0043518,-0.0028989999999999997,0.0054785,0.0054785,0.0086617,0.0038516999999999996,0.0038516999999999996,0.047046,0.0051407,0.0051407,0.7818252059369665,-385.8617515863499,-389.8445215863499,-386.3994329863499,-374.96091158634994,1.1478065999999998,1.1478065999999998,23.438740660500002
44,-6.4194,0.0040496,0.00361,0.0089286,0.0040788000000000005,0.0040788000000000005,3,-388.04,0.039181,0.090748,0.01144,0.0052815,0.0052815,-0.0041322,0.0060903,0.0060903,0.0089286,0.0040788000000000005,0.0040788000000000005,0.053708000000000006,0.0063304,0.0063304,0.7999950151415077,-387.31788411184004,-391.95839971184,-388.06628131184004,-374.72202011184004,1.2154824000000002,1.2154824000000002,24.027852850500004
45,-6.5653,0.0040693000000000005,0.0035811,0.0089461,0.004261,0.004261,3,-389.94,0.041404,0.10106,0.012028,0.0061422,0.0061422,-0.0053647,0.0068479,0.0068479,0.0089461,0.004261,0.004261,0.059096,0.007084,0.007084,0.8181772864922796,-389.04342116997003,-394.22644576997004,-389.96182736997,-375.01715716997,1.269778,1.269778,24.6201266055
46,-6.7112,0.004090099999999999,0.0035832999999999998,0.0087984,0.0042933,0.0042933,3,-391.99,0.043445,0.10442,0.011759,0.0065325,0.0065325,-0.006168600000000001,0.0074381000000000004,0.0074381000000000004,0.0087984,0.0042933,0.0042933,0.060384,0.007573899999999999,0.007573899999999999,0.8363595578430517,-391.1304780942899,-396.4729028942899,-392.0127368942899,-376.6402280942899,1.2794034,1.2794034,25.2153548355
47,-6.8571,0.0041108,0.0036266999999999996,0.0092951,0.0044179,0.0044179,3,-393.84,0.042263,0.10027,0.011365,0.0058076000000000004,0.0058076000000000004,-0.005718899999999999,0.007659100000000001,0.007659100000000001,0.0092951,0.0044179,0.0044179,0.058374,0.007026,0.007026,0.8545418291938237,-393.24513648532,-398.33613868532,-393.86196668532006,-379.23645448532005,1.3165342,1.3165342,25.8136104905
48,-7.002999999999999,0.004130600000000001,0.0036902000000000003,0.009991400000000001,0.0054412,0.0046153,3,-395.54,0.040949,0.091017,0.010957,0.0044756,0.0044756,-0.0042904,0.0075316,0.0075316,0.009991400000000001,0.0046153,0.0046153,0.054108,0.0054228,0.0054228,0.8727241005445957,-395.27713007674004,-399.8208552767401,-395.56487887674007,-382.41813207674005,1.3753594,1.3753594,26.4148206205
49,-7.1489,0.004148,0.0037863,0.010223999999999999,0.0047416,0.0036390999999999997,3,-397.15,0.03508,0.073622,0.011238,0.0037278,0.0037278,-0.001167,0.006017300000000001,0.006017300000000001,0.010223999999999999,0.0036390999999999997,0.0036390999999999997,0.046129,0.0043273,0.0043273,0.8909063718953678,-396.8722368691999,-400.5689268691999,-397.1744088691999,-386.47471886919993,1.0844517999999999,1.0844517999999999,27.0187444905
50,-7.2948,0.0041600000000000005,0.0039402000000000005,0.012279,0.0027956,0.0027956,3,-397.69,0.027975,0.044015,0.01007,0.0013989,0.0013989,0.004058,0.005806,0.005806,0.012279,0.0027956,0.0027956,0.03215,0.0021460999999999997,0.0021460999999999997,0.9090886432461399,-398.37812486400003,-400.169700864,-397.71984286400004,-391.79828486400004,0.8330888000000001,0.8330888000000001,27.624813090500002
51,-7.4407,0.0041666,0.0041567,0.010218000000000001,0.00051155,0.00051155,1,-398.95,0.03165,0.044711,0.010218000000000001,0.00051155,0.00051155,0.0058614,0.0059425,0.0059425,0.014366,0.0038648000000000003,0.0038648000000000003,0.033692,0.00028601,0.00028601,0.9272709145969118,-398.97082406114004,-400.26909086114,-397.73472006114,-391.97557206114004,1.1517104,1.1517104,28.232238560499997
52,-7.5866,0.004173,0.0041604,0.010523000000000001,0.00080244,0.00080244,1,-399.47,0.038096,0.056179,0.010523000000000001,0.00080244,0.00080244,0.0054664,0.0076844999999999995,0.0076844999999999995,0.01593,0.0044292,0.0044292,0.04027,5.828100000000001e-05,5.828100000000001e-05,0.9454531859476839,-399.4974401916999,-401.00430699169993,-397.8861541916999,-390.63283419169994,1.3199016000000001,1.3199016000000001,28.840612380499998
53,-7.7325,0.004181100000000001,0.0041642,0.010968,0.00093192,0.00093192,1,-400.12,0.047704,0.075862,0.010968,0.00093192,0.00093192,0.003783,0.010232,0.010232,0.017854,0.0057691,0.0057691,0.050989,0.00024243,0.00024243,0.9636354572984559,-400.1463613881901,-402.28749138819006,-398.0943333881901,-388.22010338819007,1.7191918,1.7191918,29.450043975499998
54,-7.8784,0.0041922,0.0037189999999999996,0.020134,0.006925399999999999,0.006925399999999999,3,-398.44,0.062280999999999996,0.10654000000000001,0.012098999999999999,0.00061513,0.00061513,0.0008460000000000001,0.013978,0.013978,0.020134,0.006925399999999999,0.006925399999999999,0.06766599999999999,0.00094762,0.00094762,0.981817728649228,-400.88031058338,-404.23370458337996,-398.48588058338,-384.32134458338,2.0637692,2.0637692,30.0608762105
55,-8.0243,0.0042073,0.0035667000000000003,0.023655000000000002,0.0078181,0.0078181,3,-398.84,0.081288,0.15073,0.015080000000000001,0.00073462,0.00073462,-0.003225,0.018962,0.018962,0.023655000000000002,0.0078181,0.0078181,0.092601,0.0037975,0.0037975,1.0,-401.44890111016997,-406.90379111016995,-398.89355111016994,-378.34764311016994,2.3297938,2.3297938,30.673619735499997
