,SOC,U[V],dE/dx,dx/dE,dqdv
327,-0.6551916726800731,1.5004448601046787,0.0012303398748063493,812.7835409361142,812.7835409361142
328,-0.6563526622733578,1.50045008810258,0.0012863122378609388,777.4162217899294,777.4162217899294
329,-0.6575115963266193,1.5004548800925048,0.00011194472608067381,8932.980007288083,8932.980007288083
333,-0.6621232611920074,1.5004479080626962,0.0,inf,inf
335,-0.664415214774867,1.5004470360467428,0.00011194472610917871,8932.980005013445,8932.980005013445
336,-0.6655578089251566,1.5004483440706733,0.0003358341782420215,2977.6600024293607,2977.6600024293607
337,-0.6666981199579469,1.5004496520946031,0.0005591975743770903,1788.2767125982887,1788.2767125982887
341,-0.6712393273562557,1.5004444241991473,0.00011193157466362654,8934.029589105401,8934.029589105401
342,-0.6723690391666548,1.5004461681286088,5.5959211609037175e-05,17870.15883973791,17870.15883973791
343,-0.6734962889716058,1.5004448601046783,0.00027933575916115323,3579.921178022482,3579.921178022482
344,-0.6746210360732712,1.500448344070673,0.0016216203600766814,616.6671464045463,616.6671464045463
345,-0.6757437773359959,1.5004574920425455,0.0012863122378609388,777.4162217899294,777.4162217899294
348,-0.6790980852508273,1.5004557481130845,5.5459458388347996e-05,18031.18943206448,18031.18943206448
359,-0.6912338766554772,1.5004239523133376,0.00022388945213284276,4466.4900042127,4466.4900042127
360,-0.6923244391166586,1.5004278722873088,0.0006711423004007543,1489.996978886411,1489.996978886411
361,-0.693413027679346,1.5004291803112386,0.0,inf,inf
363,-0.6955846847719838,1.500425260234822,0.000559184422960043,1788.3187709459066,1788.3187709459066
364,-0.6966677746178082,1.5004322281668112,0.0006146438813768958,1626.958358000486,1626.958358000486
367,-0.6999072831294707,1.5004261282554021,1.3151445552179729e-08,76037268.75744541,76037268.75744541
368,-0.7009840481969459,1.500426564263379,5.597236299757957e-05,17865.960028223988,17865.960028223988
371,-0.7042044846009453,1.5004195921311247,0.000167903937689711,5955.786467902945,5955.786467902945
373,-0.7063424241855663,1.5004143641332233,0.0001119447261376836,8932.980002738808,8932.980002738808
374,-0.7074084475696112,1.5004209001550552,0.000671142300457764,1489.996978759844,1489.996978759844
376,-0.7095346710288972,1.5004209001550546,0.0005591975743770903,1788.2767125982887,1788.2767125982887
378,-0.711653663287186,1.5004200240412822,0.00011141867008289986,8975.156490882191,8975.156490882191
379,-0.712710157756865,1.5004248160312073,0.0007271146635123534,1375.2989042601125,1375.2989042601125
380,-0.7137641865876568,1.5004256880471605,0.0008950317525906068,1117.2787972109033,1117.2787972109033
381,-0.7148161005003781,1.5004317880610154,0.0006711423004292592,1489.9969788231276,1489.9969788231276
382,-0.7158665807424078,1.5004309160450617,0.0006711423004007543,1489.996978886411,1489.996978886411
383,-0.7169152162103578,1.5004370160589164,0.0010624227856425813,941.244873052279,941.244873052279
386,-0.7200513434995784,1.5004387559930041,5.5972363054589354e-05,17865.96001002689,17865.96001002689
387,-0.7210926501826488,1.5004370160589164,0.00033584732963056385,2977.5434007470362,2977.5434007470362
388,-0.7221320012477603,1.5004413721433099,0.0001119578774977211,8931.930672054363,8931.930672054363
390,-0.7242052005951355,1.5004400682171992,0.0016221464161029603,616.4671635513624,616.4671635513624
391,-0.7252389615899746,1.500450524213002,0.0013422846008870233,744.9984893957429,744.9984893957429
393,-0.7273017553177265,1.500445296215101,0.00033583417832753614,2977.660001671148,2977.660001671148
394,-0.7283304545968069,1.500453140260863,0.0016221464161029603,616.4671635513624,616.4671635513624
395,-0.7293569208445426,1.5004579322507874,0.0008385464849552908,1192.5397314775191,1192.5397314775191
396,-0.7303815495838483,1.500459672287321,0.0006706293958770374,1491.1365444877606,1491.1365444877606
397,-0.7314043085118902,1.5004631562533155,0.0010624227856710863,941.2448730270252,941.2448730270252
402,-0.7364951625262539,1.500460104095032,0.00044725284823940665,2235.871731027451,2235.871731027451
403,-0.7375088574721613,1.5004653320929333,0.0005591975743485854,1788.2767126894453,1788.2767126894453
404,-0.7385210956340856,1.5004644600769799,5.597236308309425e-05,17865.960000928342,17865.960000928342
406,-0.7405425658157843,1.5004640240690035,0.0007830870265954477,1276.997276212842,1276.997276212842
407,-0.7415504910574124,1.5004718681147657,0.0006711423005147739,1489.9969786332772,1489.9969786332772
417,-0.751529875160762,1.5004557479081928,0.0003353081221587328,2982.3315747973625,2982.3315747973625
425,-0.7593822606830462,1.5004387599883768,0.0006151830888772318,1625.5323302613797,1625.5323302613797
426,-0.7603554995196194,1.5004461640307887,0.001286325389334996,777.408273436148,777.408273436148
433,-0.7671219305192536,1.5004287400005507,0.0007830870265384379,1276.997276305809,1276.997276305809
434,-0.7680827981351938,1.500433095982499,0.0005591975744055951,1788.276712507132,1788.276712507132
436,-0.7700000677847507,1.5004317880610143,0.0006146570327369334,1626.9235471808051,1626.9235471808051
437,-0.7709565581737222,1.5004378839770496,0.000949965154924171,1052.670189865883,1052.670189865883
438,-0.7719114217056824,1.5004391880056058,0.000503238362768053,1987.1299050007217,1987.1299050007217
439,-0.7728649633658368,1.5004418040534666,0.0002798618153014517,3573.192001641436,3573.192001641436
442,-0.7757176576242092,1.5004352680316353,0.00044725284829641643,2235.871730742452,2235.871730742452
443,-0.7766655419438194,1.5004400600215602,0.0010069764787282904,993.0718553256567,993.0718553256567
444,-0.7776123702789672,1.5004431120773973,0.0003358341781850117,2977.6600029348356,2977.6600029348356
445,-0.7785578984061506,1.50044267606942,0.000503225211293996,1987.1818373896542,1987.1818373896542
446,-0.7795018247930168,1.5004470320513683,0.00033583417832753614,2977.660001671148,2977.660001671148
449,-0.7823253566814914,1.5004439840933508,0.0008945056966783476,1117.9358652643514,1117.9358652643514
452,-0.7851369819473062,1.5004400600215604,5.5459458445357786e-05,18031.18941352924,18031.18941352924
453,-0.7860713854971313,1.500443108082024,0.0006151830888487269,1625.5323303366995,1625.5323303366995
