,Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1],SOC,M1 Enthalpy [J mol-1]
92,5.8127,0.00013202,0.0015451,-0.014467,0.0064288,0.0064288,3,-17.084,-0.06177,0.086085,0.0097767,0.0099244,0.0099244,-0.0015698,0.012608,0.012608,-0.014467,0.0064288,0.0064288,-0.0034391,0.0011279,0.0011279,0.6764616888557863,-9.824537049458
93,5.8759,0.00013152,0.0020601,-0.013758,0.0065343,0.0065343,3,-16.822,-0.065472,0.096056,0.0097845,0.010533,0.010533,0.00090768,0.013585,0.013585,-0.013758,0.0065343,0.0065343,-0.0020819,0.00096774,0.00096774,0.6838166837352201,-9.773969983007998
94,5.9391,0.00013094,0.00013517,-0.00023838,0.00079364,0.00079364,4,-12.705,-0.07056,0.10529,0.0097944,0.010882,0.010882,0.0038352,0.014227,0.014227,-0.012492,0.0068139,0.0068139,-0.00023838,0.00079364,0.00079364,0.6911716786146541,-9.715058289925999
95,6.0023,0.00013025,0.00013502,0.001667,0.0004761,0.0004761,4,-12.067,-0.06838,0.11627,0.009922,0.011173,0.011173,0.0068267,0.015211,0.015211,-0.011541,0.0073703,0.0073703,0.001667,0.0004761,0.0004761,0.698526673494088,-9.610458610224999
96,6.0655,0.0001295,0.00013478,0.0038443,0.000217,0.000217,4,-11.34,-0.07384,0.12514,0.010109,0.01117,0.01117,0.009856,0.015667,0.015667,-0.010071,0.00795,0.00795,0.0038443,0.000217,0.000217,0.705881668373522,-9.48236861055
97,6.1286,0.0001286,0.00013438,0.0058223,0.00013439,0.00013439,4,-10.658,-0.075041,0.13322,0.010158,0.011039,0.011039,0.012624,0.016129,0.016129,-0.0089335,0.0085645,0.0085645,0.0058223,0.00013439,0.00013439,0.7132250256028302,-9.38092981094
98,6.1918,0.00012757,0.00013381,0.0075599,0.00043297,0.00043297,4,-10.036,-0.07814,0.13943,0.010042,0.010805,0.010805,0.01511,0.016287,0.016287,-0.0080531,0.0090664,0.0090664,0.0075599,0.00043297,0.00043297,0.7205800204822641,-9.316117918053
99,6.255,0.00012642,0.00013307,0.0093706,0.00088055,0.00088055,4,-9.3821,-0.076062,0.14638,0.010584,0.010494,0.010494,0.01728,0.016982,0.016982,-0.0069752,0.0097087,0.0097087,0.0093706,0.00088055,0.00088055,0.7279350153616981,-9.043643785217998
100,6.3182,0.00012516,0.00013218,0.011284,0.010466,0.01026,4,-8.6845,-0.077123,0.15356,0.011387,0.010363,0.010363,0.019744,0.01766,0.01766,-0.0057258,0.0096669,0.0096669,0.011284,0.0012695,0.0012695,0.735290010241132,-8.682778265764
101,6.3814,0.0001238,0.0001313,0.013283,0.0010663,0.0010663,4,-7.9512,-0.07815,0.15781,0.011753,0.010464,0.010464,0.022079,0.017295,0.017295,-0.0017749,0.0066877,0.0066877,0.013283,0.0010663,0.0010663,0.7426450051205661,-8.442490213020001
