,OCV,Cap (mAh/g),deltaH (kJ/mol),deltaS (J/mol/K)
96,0.15568,1183978.957436637,-18435.916625872,-11.459999999999999
97,0.15406,1196293.6394069863,-19542.832386574,-15.699000000000002
98,0.15239,1208632.2333811612,-18488.595880631,-12.702
99,0.15061,1220970.8273553362,-15317.779988068998,-2.6380000000000003
100,0.14869,1233309.4213295116,-10402.672148900998,13.234
101,0.14663,1245624.1032998606,-3619.900363126998,35.327999999999996
102,0.14441,1257962.6972740355,2322.1550759110005,54.549
103,0.14196999999999999,1270301.2912482107,3370.8212881870027,57.278000000000006
104,0.1395,1282639.8852223859,387.76006045000065,46.468
105,0.13755,1294978.479196561,-2986.3855403949983,34.514
106,0.13629000000000002,1307293.16116691,-5493.472020941,25.693
107,0.13547,1319631.755141085,-7233.942047963,19.587
108,0.13485999999999998,1331970.3491152602,-8788.159994893998,14.174000000000001
109,0.13436,1344308.9430894353,-9928.341328444001,10.186
110,0.13389,1356623.6250597844,-10761.676021981,7.2374
111,0.1334,1368962.2190339593,-11279.883008859999,5.339799999999999
112,0.13288,1381300.8130081347,-11349.327835752,4.9384
113,0.13228,1393639.4069823097,-11208.860836011998,5.2155
114,0.13159,1405954.0889526587,-10775.120156310999,6.4476
115,0.13077999999999998,1418292.6829268339,-10238.196036661999,7.987100000000001
116,0.12987,1430631.276901009,-9734.058583723,9.3842
117,0.12881,1442969.8708751842,-9196.763730849,10.844
118,0.12769,1455308.4648493591,-8811.858158000998,11.773
119,0.1265,1467623.1468197082,-8418.41061185,12.708
120,0.12525,1479961.7407938833,-8071.621945725001,13.467
121,0.12396,1492300.3347680585,-7584.787866283999,14.683
122,0.12259,1504638.9287422334,-7267.2469602109995,15.305
123,0.12116,1516953.6107125825,-7477.932934163999,14.135
124,0.11964,1529292.2046867579,-8907.129028156,8.8469
125,0.11803000000000001,1541630.7986609328,-12538.801442187,-3.8611999999999997
126,0.11629,1553969.392635108,-17105.183362941,-19.748
127,0.11445000000000001,1566284.074605457,-19683.256350405,-28.995
128,0.11247,1578622.6685796322,-18042.147391263,-24.129
129,0.11025,1590961.2625538073,-12383.966752224998,-5.8606
130,0.10772000000000001,1603299.8565279823,-3795.3820599879996,22.141000000000002
131,0.10478,1615638.4505021572,2623.806818738,42.73
132,0.10167,1627953.1324725065,3170.3222040570013,43.556999999999995
133,0.099298,1640291.7264466817,1351.329413695801,36.685
134,0.097994,1652630.3204208566,262.2002877974001,32.608
135,0.097275,1664968.9143950318,134.89324215249889,31.947999999999997
136,0.09665099999999999,1677283.596365381,-52.537910117898434,31.116999999999997
137,0.09600399999999999,1689622.190339556,-527.7038997315983,29.313
138,0.095375,1701960.7843137311,-1142.282625337499,27.047
139,0.094761,1714299.378287906,-1725.230630936899,24.892
140,0.09413300000000001,1726614.0602582553,-2411.1278418756983,22.387
141,0.093481,1738952.6542324305,-2943.3254048249005,20.389999999999997
142,0.092758,1751291.2482066054,-3481.784509138199,18.349
143,0.09195300000000001,1763629.8421807804,-3779.5938161537006,17.089
144,0.091031,1775944.5241511296,-3911.7503392198996,16.347
145,0.089937,1788283.1181253048,-3890.5293850273006,16.064
146,0.088658,1800621.7120994797,-3647.6266442482006,16.465
147,0.087167,1812960.306073655,-3360.7270128942987,16.945
148,0.08547600000000001,1825298.9000478298,-3091.184314960399,17.302000000000003
149,0.083573,1837613.5820181791,-2692.7147264516984,18.023
150,0.081504,1849952.1759923543,-2468.352572681599,18.106
151,0.079268,1862290.7699665292,-2224.5993683171996,18.2
152,0.076888,1874629.3639407041,-2065.888276015199,17.962
153,0.074391,1886944.0459110537,-1875.0283997638996,17.794
154,0.071807,1899282.6398852286,-1600.0822995502997,17.88
155,0.06916900000000001,1911621.2338594035,-1418.2659913600996,17.636
156,0.066513,1923959.8278335785,-1305.0409471776998,17.156000000000002
157,0.06385400000000001,1936274.509803928,-1248.7424469966006,16.483999999999998
158,0.061211999999999996,1948613.1037781031,-1161.9001974747994,15.92
159,0.058573,1960951.6977522778,-1101.2734039516995,15.269
160,0.056026,1973290.291726453,-1012.5712610553999,14.741999999999999
161,0.053545999999999996,1985604.9736968025,-861.4956354633998,14.446
162,0.05116,1997943.5676709772,-876.8336311639997,13.622
163,0.048879,2010282.1616451524,-747.6405868190997,13.317
164,0.046674,2022620.7556193275,-693.4264277745998,12.785
165,0.044557,2034959.3495935025,-589.8909780252994,12.447
166,0.042538,2047274.0315638517,-508.62509090019927,12.066
