Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1]
3.1462,0.00019621,0.00020745,0.02846,0.0038378,0.0038378,4,-10.387,-0.098693,0.22503,0.021406,0.010811,0.010811,0.041294,0.024347,0.024347,0.0021253,0.01593,0.01593,0.02846,0.0038378,0.0038378
3.1978,0.00019521,0.00020639,0.02785,0.0036804,0.0036804,4,-10.474,-0.097536,0.22235,0.020656,0.010701,0.010701,0.040582,0.023805,0.023805,0.0014281,0.016457,0.016457,0.02785,0.0036804,0.0036804
3.2493,0.0001942,0.00020529,0.027245,0.0032869,0.0032869,4,-10.557,-0.099511,0.22023,0.019898,0.010824,0.010824,0.040045,0.022999,0.022999,0.00042434,0.017225,0.017225,0.027245,0.0032869,0.0032869
3.3009,0.00019319,0.00020421,0.026669,0.0036875,0.0036875,4,-10.634,-0.096658,0.21808,0.019438,0.010323,0.010323,0.039177,0.023276,0.023276,-0.00020038,0.01778,0.01778,0.026669,0.0036875,0.0036875
3.3525,0.00019218,0.00020309,0.025979,0.0040815,0.0040815,4,-10.743,-0.09627,0.21603,0.018878,0.0097856,0.0097856,0.038297,0.023467,0.023467,-0.0010136,0.018134,0.018134,0.025979,0.0040815,0.0040815
3.4041,0.00019116,0.00020198,0.025454,0.0038729,0.0038729,4,-10.803,-0.095528,0.21414,0.018348,0.0098158,0.0098158,0.037833,0.022978,0.022978,-0.001977,0.018831,0.018831,0.025454,0.0038729,0.0038729
3.4557,0.00019014,0.00020083,0.025375,0.0040643,0.0040643,4,-10.729,-0.092741,0.21444,0.018376,0.0096915,0.0096915,0.037813,0.023248,0.023248,-0.0025745,0.01946,0.01946,0.025375,0.0040643,0.0040643
3.5072,0.00018912,0.00019969,0.025103,0.0043447,0.0043447,4,-10.713,-0.089388,0.21221,0.018448,0.0093709,0.0093709,0.037311,0.023476,0.023476,-0.002775,0.019765,0.019765,0.025103,0.0043447,0.0043447
3.5588,0.00018811,0.00019854,0.024838,0.0048458,0.0048458,4,-10.694,-0.087226,0.21188,0.018484,0.00895,0.00895,0.036905,0.024102,0.024102,-0.003092,0.019897,0.019897,0.024838,0.0048458,0.0048458
3.6104,0.00018709,0.00019739,0.024538,0.004964,0.004964,4,-10.683,-0.090933,0.20909,0.018468,0.0086385,0.0086385,0.036487,0.023929,0.023929,-0.003116,0.019356,0.019356,0.024538,0.004964,0.004964
3.662,0.00018606,0.00019621,0.024365,0.0049539,0.0049539,4,-10.635,-0.090063,0.20715,0.018515,0.0085491,0.0085491,0.036347,0.023744,0.023744,-0.0032515,0.018933,0.018933,0.024365,0.0049539,0.0049539
3.7135,0.000185,0.00019502,0.024297,0.0054226,0.0054226,4,-10.553,-0.089628,0.20682,0.018769,0.0081661,0.0081661,0.036161,0.024348,0.024348,-0.0030618,0.018311,0.018311,0.024297,0.0054226,0.0054226
3.7651,0.00018394,0.00019383,0.023954,0.0059246,0.0059246,4,-10.554,-0.089043,0.20156,0.018986,0.0074235,0.0074235,0.035296,0.024557,0.024557,-0.0022789,0.017067,0.017067,0.023954,0.0059246,0.0059246
3.8167,0.00018286,0.00019261,0.024202,0.0061425,0.0061425,4,-10.376,-0.087642,0.20094,0.019449,0.0072496,0.0072496,0.035604,0.024817,0.024817,-0.0019212,0.016263,0.016263,0.024202,0.0061425,0.0061425
3.8683,0.00018176,0.0001914,0.02429,0.00651,0.00651,4,-10.245,-0.086415,0.19948,0.019886,0.0068867,0.0068867,0.035439,0.025236,0.025236,-0.0012957,0.015593,0.015593,0.02429,0.00651,0.00651
3.9198,0.00018068,0.00019022,0.024797,0.006569,0.006569,4,-9.9891,-0.083364,0.19834,0.020461,0.0068181,0.0068181,0.036042,0.02525,0.02525,-0.00067477,0.014849,0.014849,0.024797,0.006569,0.006569
